trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-118.82454526208788,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-101.69164089105693,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-108.76907980708577,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-118.72646787679972,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-46.431981887133915,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-131.4520102057391,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-129.85778777939254,"{0: 23, 1: 3, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-150.84479011644814,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-26.50938766064787,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-61.47801573236499,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,9,-87.32470285535857,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-111.16358676446703,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,4,18.676817436012087,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-107.9355448731709,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-74.52374492440046,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-18.222947172597657,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,28.302957004534868,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-62.924740721222825,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-72.43659488169432,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.0}",20,0,20.55492128781447,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,30.599978769063245,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,15.465360985434545,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-19.86398517180357,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-74.14508402271214,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-29.50646782718357,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,9,-50.04957728211303,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-47.8694577147813,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-106.8035656853135,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,29.13955758148068,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,23.24455922387017,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
