trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-225.09973211958823,"{0: 10, 1: 0, 2: 4, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.07444907582104,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.37603100240294,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,10,-109.9201298033124,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",30,6,-71.66379694450646,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-90.24935272667821,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,14,-43.008752807384035,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.79501951565692,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.24167107583408,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-46.28097892599091,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.957713008424,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.342096324322,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.9514804398244,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.2714612744754,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,9,6.391584675548013,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-213.79607500315066,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,1,-47.6272773261256,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-235.5860478714525,"{0: 15, 1: 1, 2: 9, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.66430703100448,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.1482518916906,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.3302579609536,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.4047911308952,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 1.0}",30,0,-61.179927785166214,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.02104223330758,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
