trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-187.11620853061095,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-142.74405974285528,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.17059989409617,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.80016322893285,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.78485388081333,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.57477207043011,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-40.32221942840687,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,7,-131.75718202277415,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.724208670110755,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.1911987450712,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-68.45897017154127,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.23448799674395,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.24576206326984,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.059200507952355,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-79.45685075865441,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.0561898561878,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.09724085030422,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.5853728257792,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.42144938250622,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.15060772116368,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.39910014808122,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-135.97458655855746,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-148.64690245812383,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.17246511617415,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-66.57515878634608,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-209.47116611993007,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.7851643945305,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.87229981391137,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-204.0011372979035,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-215.6303698849613,"{0: 7, 1: 1, 2: 8, 3: 1, 4: 3}",0
